execid_num,W0,nS,nSu,nO,K,T,P0,NumOfShares,sigma,permid,d,rf,phi,Nd1,Nd2,BS,year,CV,LD,PC,MD2
8795,2742.317694965857,0.012006460578282705,0.012006460578282705,0.000994685260129699,977743919.3735068,1.6251256988149994,1281920000.0,41018000.0,0.408,1500,0.0,0.0664,979.5640000000001,0.8384983258483338,0.6801737760477435,477878595.2994009,2000,0.5201201056751604,0.3484707458423814,1247329465.494647,-0.4681847903991049
8800,3773.7658973529506,0.0055611706065242066,0.0055611706065242066,0.024798894536840546,224291573.79975134,6.765151421260157,174768000.0,40526000.0,0.635,13608,0.0,0.0664,427.54600000000005,0.8281135041284127,0.24043863067293675,110314189.45418304,2000,1.6516289479897193,0.10199029430238352,70016178.97474894,0.7048923016459522
8807,2810.7163410680996,0.009601268716424733,0.00388632986627043,0.048291233283803865,155145388.23792213,6.290893177423658,272209000.0,26247000.0,0.53,2818,0.02732,0.0664,1504.982,0.8984078680880192,0.4773538912746613,157165617.62585625,2000,1.3293276095599253,0.13884991441959124,143863122.9122068,0.05679589679224296
8821,6277.457590779346,0.0033289483631964915,0.001642624933847433,0.015120586678763136,702603359.9364724,1.0162215301742776,1267778000.0,26454000.0,0.341,24926,0.0078000000000000005,0.0664,1138.75,0.9804017606565711,0.9571348433432526,604512752.0552447,2000,0.34375464469617745,0.37308511724079546,1268370131.9843066,-1.7183636112106615
8909,81788.6853055436,0.03901497074159248,0.03901497074159248,0.009867722398050957,1382121746.0756295,10.065344144471528,2879317000.0,87838000.0,0.469,2536,0.0,0.0664,729.434,0.9541400706812526,0.5786528929363357,2337342810.272497,2000,1.4879459544493212,0.13187113082660096,1856885055.9747057,-0.19844844921086954
8947,6358.5562601748,0.000520259511883193,0.00047505808376851756,0.0005105195566449963,13587415090.455431,5.946333918821351,830996000.0,93830000.1144726,0.518,8579,0.01371,0.0664,2477.9610000000002,0.0913421792563267,0.004720145377355545,26749167.936757296,2000,1.2631484878801147,0.16559092778335274,511918413.8186997,2.5956837612085195
8952,147144.47513321746,0.002623224642990799,0.002623224642990799,0.007398153519709233,12198615038.661327,7.68664571864293,119515770000.0,1100894324.2800002,0.615,25056,0.0,0.0664,2238.498,0.9936183514358989,0.7838410069629174,113013516595.66489,2000,1.7050752408423866,0.09323992010669194,46534818458.25883,-0.7852312675114225
8963,3360.5804491943377,0.02984473398479913,0.02984473398479913,0.0256243213897937,135439826.0026354,1.0494298757582796,1189522000.0,18420000.0,0.224,4973,0.02471,0.0664,1571.7,1.0,1.0,1032749116.8983526,2000,0.2294693736559357,0.37862915258377056,1210428199.0913627,-9.54463757624372
8992,22746.489347250725,0.022859264652348017,0.022859264652348017,0.009681931804392672,640009120.9424039,2.5119236639928872,734790000.0,41205000.0,0.457,24393,0.014870000000000001,0.0664,697.22,0.7677721710750108,0.502883594951533,271061510.8300891,2000,0.7243015568816973,0.2956446032471867,643368591.9429433,-0.007228163578461802
8997,7601.275239984976,0.003954049832425956,0.003954049832425956,0.010994677059795878,1197531033.3807056,5.50142122430616,4304627000.0,131882000.0,0.549,11925,0.0,0.0664,1729.121,0.9726412947203162,0.7367728913955346,3574542714.202479,2000,1.2876854656425616,0.17412088799333808,2707208230.817395,-0.6334279507098638
9088,1356.2904041465633,0.07297973993084302,0.07297973993084302,0.02255267130959918,197223982.2551657,5.1106328514717125,492269000.0,24957989.836198453,0.625,4418,0.0,0.0664,496.091,0.9445326481031786,0.5718502144365347,384636335.74242526,2000,1.4129193032888105,0.14703141434495406,254729158.60345185,-0.18108663979782322
9101,2896.508198962193,0.0062295363141708065,0.0062295363141708065,0.03198524367163473,116315175.30907823,1.490324825641502,119439000.0,33816000.0,0.634,16936,0.06109,0.0664,574.7,0.6669316124395588,0.36597833438227634,34167597.5272652,2000,0.7739799775288476,0.2699536558784967,89228179.44957136,0.34252388959975477
9102,15670.281072714613,0.016021517618261514,0.016021517618261514,0.02469146695508624,152760591.3600795,5.446913487536045,85847000.0,35134000.0,0.637,24187,0.0,0.0664,725.679,0.7254020213300892,0.18734974965565399,42339747.366175935,2000,1.486670319514052,0.13212156243299233,40818988.52520638,0.8877049188550629
9132,6291.809208294951,0.0015820723911143817,0.0006798024396101938,0.0017772054352103103,8082333294.94491,8.746703435930181,7552906000.0,391374000.0,0.248,1619,0.03659,0.0664,4506.203,0.7356047831004227,0.458742528035779,1959961657.076263,2000,0.7334556892706265,0.2213613076916893,7490930298.5584,0.1036021819080988
9145,5906.798024485491,0.0017145275085518814,0.0013116626282782212,0.01670289338654504,1560818548.648124,2.2639435755345407,2376478000.0,56128000.0,0.347,25021,0.0,0.0664,1051.88,0.9121615173791475,0.7973169570326515,1096957994.989139,2000,0.5221103159166063,0.3481095241347332,2410045970.3149676,-0.8320759321842419
9249,1966.1436211454347,0.011125814256467522,0.009077982505118183,0.04144403498976364,352095087.5624773,1.026803618705809,374112000.0,26865000.0,0.354,1004,0.0245,0.0664,1085.0,0.6802441070708806,0.5436639157508111,69359980.05021706,2000,0.35871286885437653,0.3647902737511231,366222410.68541574,-0.10966864443448382
9260,747.0878750675574,0.0038873668188736683,0.0038873668188736683,0.038742516489091834,133127878.72368266,6.281693151686904,712840000.0,17739000.00404449,0.163,7849,0.042,0.0664,521.669,0.9999986118204636,0.9999905784145416,459809892.540591,2000,0.40853189024502035,0.2818955129243056,764392309.5374491,-4.278175175110291
9289,9174.185506318057,0.009009440118987995,0.009009440118987995,0.003404665422149373,876163148.2128611,5.88192994033147,956855000.0,65888999.99999999,0.289,6140,0.019379999999999998,0.0664,816.372,0.8080504399835966,0.567428781844177,353470773.51927733,2000,0.7009027539869027,0.27843721894407636,986918907.3742232,-0.16983177597512486
9311,12445.697382961886,0.03749206471100189,0.03595620232427174,0.012523165924333179,604298352.5022486,1.31646172585677,2491589000.0,58599000.00000001,0.296,6653,0.00705,0.0664,7007.921,0.9999975729628876,0.9999883866866867,1914854149.6615896,2000,0.33962201131944725,0.3731065871747379,2543093129.5631995,-4.231375769856498
9322,35640.842465025955,0.06088858921161825,0.06088858921161825,0.08817427385892115,95358883.6627249,5.410329985895373,1304800000.0,19280000.0,0.648,24878,0.0,0.0664,446.463,0.9968109425164442,0.8888482918955878,1241459555.1405518,2000,1.5072555199425912,0.1281122899496175,600127037.0200154,-1.2204260260729336
9333,2829.2606188656628,0.010461004024571065,0.010461004024571065,0.05997873331921203,170998976.50824773,1.2029837003487494,163931000.0,23605000.0,0.529,9589,0.0,0.0664,4992.358,0.6387139370440078,0.4109168495072893,39833081.99592665,2000,0.5802104460360002,0.33713878312255824,150054962.6191802,0.2251871327076782
9338,5183.256658146297,0.016529153792484798,0.012093790491378452,0.012023622047244095,348158039.6812102,4.801455800656703,836908000.0,22574250.0,0.255,11482,0.03562,0.0664,1200.106,0.9827218343912133,0.93999811091895,455230760.23945385,2000,0.5587617233112001,0.28763190598322813,829975038.2207854,-1.554757736548334
9366,8803.604528091333,0.3341868239121594,0.3341868239121594,0.015882716551443674,239007624.4745321,1.0092130525421974,249635000.0,12295000.0,0.331,23088,0.007850000000000001,0.0664,253.74300000000002,0.6825330057072827,0.5565676104429713,44637767.81941806,2000,0.33252126435699675,0.3745065256193417,250586477.2779936,-0.14227248512068436
9385,4329.902722138739,0.11248542631435576,0.11248542631435576,0.07772704985017707,48426403.87936884,5.349410133850222,572565000.0,18584437.5,0.387,23697,0.0,0.0664,603.8180000000001,0.9998433121612347,0.9966246690656316,538641383.7226241,2000,0.8950842453851,0.2672618374873,547158868.2551813,-2.70890031709503
9405,13009.952869268016,0.0037461269179204526,0.0037461269179204526,0.005901683301057649,250855357.41983023,4.876915782910145,432086000.0,26852000.0,0.363,14182,0.016739999999999998,0.0664,1114.139,0.9163958800716906,0.7189045243505963,234465786.61780408,2000,0.8016397668518491,0.2666305567577711,399214602.1840729,-0.5795902771177137
9488,1001.0472549249033,2.465064933030616e-07,2.465064933030616e-07,2.0533655749893535e-06,945447221238.942,6.208820076413899,71460000.0,9608000.00613446,0.523,2138,0.9411799999999999,0.0664,532.413,0.0,0.0,0.0,2000,1.3031854613528413,0.0004946292895025923,133806.58099404597,12.101710584873945
9489,4695.362430694915,0.04998969684961363,0.04998969684961363,0.01849283402681461,210365403.42872864,5.283922428214304,935698000.0,30282000.0,0.38,24925,0.00842,0.0664,871.4530000000001,0.9937210304758436,0.947659081643886,748997969.6255307,2000,0.8734977954374844,0.26055837375809804,867968477.6358397,-1.6225677618719205
9541,3082.8206518060297,0.009589520120507854,0.008551610357937021,0.01702865648088372,251644750.00641453,4.993406384655612,319692000.0,27882000.0,0.631,1281,0.0,0.0664,729.733,0.8664791422632965,0.38204002233779344,207998184.8516932,2000,1.4100282548661438,0.14763262229688828,164816111.47046724,0.30012731502868956
9561,5141.889786620315,0.0033015555254970914,0.0027712611028450334,0.005932260246178817,1326076843.9506397,6.777681655789777,1716294000.0,110895000.0,0.35,14134,0.01521,0.0664,2425.889,0.868524513977305,0.582484750361639,852132876.4165537,2000,0.9111893342408304,0.2376015726528243,1603171472.426227,-0.20825418899467552
9656,7450.460191636972,0.06580405232110799,0.06580405232110799,0.21686329828161066,51097716.583357126,5.1311645058212445,502521000.0,23394000.0,0.382,9771,0.02194,0.0664,1484.441,0.9995780935986615,0.9932951466493466,412726709.58231455,2000,0.8653092218088625,0.2451472307396532,434149514.9909939,-2.4726989086433773
9752,1797.8919435113369,0.0020685485154186426,0.0020685485154186426,0.023231391019317062,328560911.50611794,5.847368309210687,399190000.0,31423000.0,0.706,23812,0.0,0.0664,596.357,0.883972902351355,0.30428420862129246,285066248.92854613,2000,1.7072020590925192,0.09290219847411636,137061991.26496136,0.5121180148322173
